S,causal,mode,latency_ms,peak_vram_mb
1024,True,math,1.6731980895996095,127.1337890625
1024,True,flash,0.05847616195678711,12.1259765625
2048,True,math,7.14076416015625,462.1416015625
2048,True,flash,0.1528230381011963,16.1259765625
4096,True,math,28.96891357421875,1780.1572265625
4096,True,flash,0.5230732727050781,24.1259765625
